Year,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
NE,2000,2088.27,1877.78,1789.4,1823.43,1733.84,1868.32,1761.74,1812.71,1911.2,1793.67,2080.17,2090.94,2110.64,2044.54,2055.32,1797.16,1916.97,2004.38,2029.21,2254.64,2166.72,2094.68,2090.48,1923.71,1701.97,1818.64,1696.9,1784.28,2030.67,1951.67,2156.84,2143.28,2066.6,1998.83,1924.56,2273.64,2133.15,2397.25,2466.52,2252.78,2296.8,2422.12,2262.34,2115.06,2235.52,2278.39,2208.55,2219.42,2355.81,2245.77,2407.45,2333.01,2330.05,2154.52
NYG,2000,1760.03,1887.48,1933.58,1923.41,2036.87,1878.42,2025.49,1856.79,1714.07,1786.25,1801.25,1835.87,1826.34,1845.29,1801.91,2020.43,2000.08,1852.17,2030.55,2109.62,2408.8,2129.28,2114.66,2135.05,2345.78,2127.34,2002.11,2125.21,2122.29,1942.52,1914.26,2015.87,2046.66,1955.6,2149.76,1980.85,2053.66,1846.17,1847.68,2003.35,1959.04,2287.03,2182.82,2034.76,2093.07,2310.52,2155.22,2025.76,1912.16,1875.75,2040.22,1846.22,1862.88,1787.67
KC,2000,2177.48,2139.94,2231.4,2400.79,2225.33,2175.94,2113.1,2050.69,1937.6,1895.88,1930.35,1795.12,1782.55,1920.94,2035.96,2062.67,2001.21,1951.79,2049.21,1961.89,2030.78,1923.66,1855.65,1999.9,2082.53,2132.28,2078.11,2180.79,2047.37,2149.14,2072.89,2188.7,2055.39,2054.62,1969.39,1949.16,1993.44,2080.7,2041.16,2120.6,2065.23,1822.24,1691.38,1739.51,1910.79,1976.24,1753.8,1947.34,2045.32,2178.34,2177.06,2045.22,2119.01,2304.68
CHI,2000,1961.35,2022.53,2030.12,1790.17,1902.17,1912.86,1885.7,1771.29,1756.43,1804.61,1936.04,2037.03,1967.2,2012.89,1965.16,1945.25,1875.56,1953.5,2093.6,2368.33,2271.77,2174.73,2141.94,1901.78,2037.24,2057.97,1873.45,1886.34,2038.68,2025.04,2003.97,1903.3,1829.66,1879.56,1902.73,2106.82,1879.47,1922.44,1836.24,2017.45,2161.78,2009.78,2024.73,1950.79,2074.44,2014.35,2048.3,1982.46,1846.76,1875.89,1731.27,1789.04,2076.12,2049.03
NO,2000,2000.0,1880.99,1837.58,1866.14,1746.15,1848.34,1768.87,1844.54,1899.76,1722.58,1771.0,1665.8,1829.52,1946.31,1711.16,1740.93,1834.44,1907.75,1926.12,1842.66,1929.6,2111.48,2106.14,2099.25,2023.11,2027.49,2113.48,1985.52,2039.5,2005.76,1776.5,1839.95,1850.42,1766.07,2003.32,1932.49,1927.1,1984.71,2042.31,1815.94,2009.93,1940.7,1959.1,2246.07,2134.07,2207.95,2072.5,2146.42,1997.81,1957.19,1991.19,2127.09,2207.97,2190.94
CIN,2000,2000.0,2000.0,1829.97,1824.12,1977.58,1818.87,1931.77,2101.48,2030.65,2129.67,2193.64,2163.21,1991.32,1932.41,1974.97,2194.56,2162.27,2025.04,2027.16,1983.48,2061.78,1864.03,2118.87,2029.95,2055.34,1879.84,1787.03,1736.79,1726.67,1875.53,1989.92,1993.05,1837.51,1784.35,1777.68,1862.86,1715.68,1914.05,2021.76,2053.17,2041.98,1993.19,1932.05,1983.69,1887.14,1944.88,2047.68,2076.68,2092.46,2112.17,1979.37,1966.51,1872.67,1729.83
SEA,2000,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,1762.85,1833.26,2017.65,2103.9,1877.06,1932.9,1944.72,2144.77,2219.58,2091.67,2183.48,2076.68,2043.19,2001.47,2070.46,1965.26,1798.13,1819.57,1819.04,1977.0,2007.16,2001.57,2010.84,1975.06,1944.6,2005.41,2025.76,2018.56,1971.22,2191.43,2058.82,2044.53,1869.59,1799.91,1914.65,1919.34,2121.89,2340.45,2330.27,2254.47,2141.65,2048.6,2064.53,2131.46
TB,2000,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,1723.06,1679.06,1679.67,1889.6,1797.52,1951.9,1988.37,1742.97,1810.29,1694.15,1586.83,1648.05,1749.47,1791.83,1795.89,1742.16,1747.03,1834.45,1848.74,1880.45,1943.29,2058.35,2050.01,2149.05,2115.44,2066.68,2279.8,2039.79,1878.96,2014.79,1878.64,1897.46,1928.23,1849.02,2029.96,1833.25,1895.36,1843.73,1713.11,1762.63,1998.25,1931.78,1855.97,1922.75
JAX,2000,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,1811.89,2071.19,2093.95,2126.48,2206.24,2016.1,1949.51,1875.93,1894.61,1999.81,2120.19,2049.53,2208.1,1965.57,1925.97,1965.7,1875.87,1724.22,1723.17,1688.64,1722.38,1715.64,2040.62,1906.58,1890.83
CAR,2000,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,1960.85,2173.33,2011.53,1879.29,1945.36,1934.64,1694.57,1857.29,2174.38,2039.99,2162.95,2054.96,1995.23,2071.18,2085.21,1822.76,1901.52,1991.84,2143.45,2079.73,2264.23,2049.4,2103.75,1983.77,1851.93
BAL,2000,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,1804.05,1868.28,1889.24,1965.49,2309.37,2200.01,2004.75,2021.18,2044.29,1960.68,2155.98,1945.58,2200.15,2162.44,2212.1,2202.79,2326.24,2120.98,2128.06,1956.14,1956.78,1979.51,2052.73,2206.17
HOU,2000,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,1837.67,1829.74,1922.31,1746.39,1856.49,1994.96,2034.31,2091.56,1949.09,2035.01,2145.03,1797.9,1941.79,1982.53,2041.36,1829.06,1988.07,2098.67
